1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C0000007F250241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Jun 29 09:59:01 PDT 2023
Mission Sample Count:  319
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jun 29 09:59:01 PDT 2023
Total Mission Samples:  319
Total Device Samples:  10191
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/23 9:59:01 AM,%RH,61.625
6/29/23 10:59:01 AM,%RH,64.594
6/29/23 11:59:01 AM,%RH,59.825
6/29/23 12:59:01 PM,%RH,53.725
6/29/23 1:59:01 PM,%RH,48.102
6/29/23 2:59:01 PM,%RH,44.283
6/29/23 3:59:01 PM,%RH,37.795
6/29/23 4:59:01 PM,%RH,31.823
6/29/23 5:59:01 PM,%RH,35.156
6/29/23 6:59:01 PM,%RH,37.795
6/29/23 7:59:01 PM,%RH,43.642
6/29/23 8:59:01 PM,%RH,51.241
6/29/23 9:59:01 PM,%RH,54.342
6/29/23 10:59:01 PM,%RH,64.003
6/29/23 11:59:01 PM,%RH,72.131
6/30/23 12:59:01 AM,%RH,77.751
6/30/23 1:59:01 AM,%RH,79.955
6/30/23 2:59:01 AM,%RH,84.289
6/30/23 3:59:01 AM,%RH,85.357
6/30/23 4:59:01 AM,%RH,85.889
6/30/23 5:59:01 AM,%RH,85.889
6/30/23 6:59:01 AM,%RH,85.357
6/30/23 7:59:01 AM,%RH,84.289
6/30/23 8:59:01 AM,%RH,83.215
6/30/23 9:59:01 AM,%RH,78.856
6/30/23 10:59:01 AM,%RH,76.081
6/30/23 11:59:01 AM,%RH,64.594
6/30/23 12:59:01 PM,%RH,58.011
6/30/23 1:59:01 PM,%RH,51.241
6/30/23 2:59:01 PM,%RH,48.102
6/30/23 3:59:01 PM,%RH,49.362
6/30/23 4:59:01 PM,%RH,44.924
6/30/23 5:59:01 PM,%RH,44.924
6/30/23 6:59:01 PM,%RH,37.138
6/30/23 7:59:01 PM,%RH,35.818
6/30/23 8:59:01 PM,%RH,35.818
6/30/23 9:59:01 PM,%RH,46.2
6/30/23 10:59:01 PM,%RH,53.106
6/30/23 11:59:01 PM,%RH,59.825
7/1/23 12:59:01 AM,%RH,63.411
7/1/23 1:59:01 AM,%RH,66.357
7/1/23 2:59:01 AM,%RH,68.685
7/1/23 3:59:01 AM,%RH,72.131
7/1/23 4:59:01 AM,%RH,75.521
7/1/23 5:59:01 AM,%RH,77.196
7/1/23 6:59:01 AM,%RH,71.561
7/1/23 7:59:01 AM,%RH,65.771
7/1/23 8:59:01 AM,%RH,57.404
7/1/23 9:59:01 AM,%RH,49.362
7/1/23 10:59:01 AM,%RH,46.835
7/1/23 11:59:01 AM,%RH,42.353
7/1/23 12:59:01 PM,%RH,41.059
7/1/23 1:59:01 PM,%RH,37.138
