1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C0000007F250241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Jun 29 09:59:01 PDT 2023
Mission Sample Count:  319
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jun 29 09:59:01 PDT 2023
Total Mission Samples:  319
Total Device Samples:  10191
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/23 9:59:01 AM,C,20.06
6/29/23 10:59:01 AM,C,20.06
6/29/23 11:59:01 AM,C,22.061
6/29/23 12:59:01 PM,C,24.562
6/29/23 1:59:01 PM,C,26.563
6/29/23 2:59:01 PM,C,27.562
6/29/23 3:59:01 PM,C,28.062
6/29/23 4:59:01 PM,C,29.062
6/29/23 5:59:01 PM,C,27.562
6/29/23 6:59:01 PM,C,27.062
6/29/23 7:59:01 PM,C,25.563
6/29/23 8:59:01 PM,C,23.062
6/29/23 9:59:01 PM,C,21.561
6/29/23 10:59:01 PM,C,20.06
6/29/23 11:59:01 PM,C,18.558
6/30/23 12:59:01 AM,C,17.557
6/30/23 1:59:01 AM,C,16.555
6/30/23 2:59:01 AM,C,16.055
6/30/23 3:59:01 AM,C,16.055
6/30/23 4:59:01 AM,C,16.055
6/30/23 5:59:01 AM,C,16.055
6/30/23 6:59:01 AM,C,16.055
6/30/23 7:59:01 AM,C,16.555
6/30/23 8:59:01 AM,C,16.555
6/30/23 9:59:01 AM,C,18.058
6/30/23 10:59:01 AM,C,18.558
6/30/23 11:59:01 AM,C,21.561
6/30/23 12:59:01 PM,C,24.062
6/30/23 1:59:01 PM,C,25.563
6/30/23 2:59:01 PM,C,27.062
6/30/23 3:59:01 PM,C,26.563
6/30/23 4:59:01 PM,C,27.062
6/30/23 5:59:01 PM,C,27.062
6/30/23 6:59:01 PM,C,27.062
6/30/23 7:59:01 PM,C,25.063
6/30/23 8:59:01 PM,C,22.562
6/30/23 9:59:01 PM,C,20.56
6/30/23 10:59:01 PM,C,18.558
6/30/23 11:59:01 PM,C,16.555
7/1/23 12:59:01 AM,C,15.053
7/1/23 1:59:01 AM,C,14.552
7/1/23 2:59:01 AM,C,13.55
7/1/23 3:59:01 AM,C,13.049
7/1/23 4:59:01 AM,C,12.548
7/1/23 5:59:01 AM,C,12.046
7/1/23 6:59:01 AM,C,13.55
7/1/23 7:59:01 AM,C,14.552
7/1/23 8:59:01 AM,C,17.557
7/1/23 9:59:01 AM,C,20.06
7/1/23 10:59:01 AM,C,21.061
7/1/23 11:59:01 AM,C,23.062
7/1/23 12:59:01 PM,C,24.562
7/1/23 1:59:01 PM,C,25.063
7/1/23 2:59:01 PM,C,26.563
7/1/23 3:59:01 PM,C,27.562
7/1/23 4:59:01 PM,C,27.562
7/1/23 5:59:01 PM,C,26.563
7/1/23 6:59:01 PM,C,26.063
7/1/23 7:59:01 PM,C,24.562
7/1/23 8:59:01 PM,C,22.061
7/1/23 9:59:01 PM,C,20.56
7/1/23 10:59:01 PM,C,19.059
7/1/23 11:59:01 PM,C,18.558
7/2/23 12:59:01 AM,C,17.557
7/2/23 1:59:01 AM,C,17.056
7/2/23 2:59:01 AM,C,16.555
7/2/23 3:59:01 AM,C,15.554
7/2/23 4:59:01 AM,C,15.053
7/2/23 5:59:01 AM,C,15.053
7/2/23 6:59:01 AM,C,16.055
7/2/23 7:59:01 AM,C,18.058
7/2/23 8:59:01 AM,C,20.56
7/2/23 9:59:01 AM,C,22.562
7/2/23 10:59:01 AM,C,22.562
7/2/23 11:59:01 AM,C,23.562
7/2/23 12:59:01 PM,C,25.563
7/2/23 1:59:01 PM,C,26.563
7/2/23 2:59:01 PM,C,27.562
7/2/23 3:59:01 PM,C,28.062
7/2/23 4:59:01 PM,C,28.062
7/2/23 5:59:01 PM,C,27.562
7/2/23 6:59:01 PM,C,27.562
7/2/23 7:59:01 PM,C,26.563
7/2/23 8:59:01 PM,C,24.562
7/2/23 9:59:01 PM,C,23.062
7/2/23 10:59:01 PM,C,20.56
7/2/23 11:59:01 PM,C,20.06
7/3/23 12:59:01 AM,C,18.058
7/3/23 1:59:01 AM,C,17.557
7/3/23 2:59:01 AM,C,16.055
7/3/23 3:59:01 AM,C,15.053
7/3/23 4:59:01 AM,C,14.552
7/3/23 5:59:01 AM,C,14.051
7/3/23 6:59:01 AM,C,15.554
7/3/23 7:59:01 AM,C,17.557
7/3/23 8:59:01 AM,C,21.561
7/3/23 9:59:01 AM,C,21.561
7/3/23 10:59:01 AM,C,22.562
7/3/23 11:59:01 AM,C,25.563
7/3/23 12:59:01 PM,C,26.563
7/3/23 1:59:01 PM,C,28.062
7/3/23 2:59:01 PM,C,29.062
7/3/23 3:59:01 PM,C,29.561
7/3/23 4:59:01 PM,C,29.062
7/3/23 5:59:01 PM,C,29.062
7/3/23 6:59:01 PM,C,28.562
7/3/23 7:59:01 PM,C,27.562
7/3/23 8:59:01 PM,C,25.063
7/3/23 9:59:01 PM,C,23.562
7/3/23 10:59:01 PM,C,21.061
7/3/23 11:59:01 PM,C,19.059
7/4/23 12:59:01 AM,C,18.058
7/4/23 1:59:01 AM,C,17.056
7/4/23 2:59:01 AM,C,16.055
7/4/23 3:59:01 AM,C,15.554
7/4/23 4:59:01 AM,C,14.552
7/4/23 5:59:01 AM,C,14.552
7/4/23 6:59:01 AM,C,17.056
7/4/23 7:59:01 AM,C,19.059
7/4/23 8:59:01 AM,C,22.562
7/4/23 9:59:01 AM,C,23.062
7/4/23 10:59:01 AM,C,25.563
7/4/23 11:59:01 AM,C,26.563
7/4/23 12:59:01 PM,C,28.062
7/4/23 1:59:01 PM,C,29.561
7/4/23 2:59:01 PM,C,31.06
7/4/23 3:59:01 PM,C,31.56
7/4/23 4:59:01 PM,C,31.06
7/4/23 5:59:01 PM,C,31.06
7/4/23 6:59:01 PM,C,31.56
7/4/23 7:59:01 PM,C,30.061
7/4/23 8:59:01 PM,C,27.562
7/4/23 9:59:01 PM,C,24.062
7/4/23 10:59:01 PM,C,22.061
7/4/23 11:59:01 PM,C,20.56
7/5/23 12:59:01 AM,C,19.559
7/5/23 1:59:01 AM,C,18.058
7/5/23 2:59:01 AM,C,17.557
7/5/23 3:59:01 AM,C,16.555
7/5/23 4:59:01 AM,C,16.055
7/5/23 5:59:01 AM,C,15.554
7/5/23 6:59:01 AM,C,18.558
7/5/23 7:59:01 AM,C,20.06
7/5/23 8:59:01 AM,C,23.562
7/5/23 9:59:01 AM,C,26.063
7/5/23 10:59:01 AM,C,27.562
7/5/23 11:59:01 AM,C,29.561
7/5/23 12:59:01 PM,C,30.561
7/5/23 1:59:01 PM,C,31.56
7/5/23 2:59:01 PM,C,32.559
7/5/23 3:59:01 PM,C,33.557
7/5/23 4:59:01 PM,C,34.057
7/5/23 5:59:01 PM,C,33.058
7/5/23 6:59:01 PM,C,33.557
7/5/23 7:59:01 PM,C,32.059
7/5/23 8:59:01 PM,C,29.062
7/5/23 9:59:01 PM,C,27.062
7/5/23 10:59:01 PM,C,25.563
7/5/23 11:59:01 PM,C,23.562
7/6/23 12:59:01 AM,C,21.561
7/6/23 1:59:01 AM,C,20.56
7/6/23 2:59:01 AM,C,19.059
7/6/23 3:59:01 AM,C,17.557
7/6/23 4:59:01 AM,C,16.555
7/6/23 5:59:01 AM,C,16.055
7/6/23 6:59:01 AM,C,16.555
7/6/23 7:59:01 AM,C,17.557
7/6/23 8:59:01 AM,C,20.56
7/6/23 9:59:01 AM,C,22.562
