1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A00000007F245841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Jun 29 09:59:01 PDT 2023
Mission Sample Count:  319
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jun 29 09:59:01 PDT 2023
Total Mission Samples:  319
Total Device Samples:  9792
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/23 9:59:01 AM,%RH,63.42
6/29/23 10:59:01 AM,%RH,65.176
6/29/23 11:59:01 AM,%RH,64.592
6/29/23 12:59:01 PM,%RH,59.258
6/29/23 1:59:01 PM,%RH,55.003
6/29/23 2:59:01 PM,%RH,48.128
6/29/23 3:59:01 PM,%RH,41.025
6/29/23 4:59:01 PM,%RH,33.693
6/29/23 5:59:01 PM,%RH,35.715
6/29/23 6:59:01 PM,%RH,41.025
6/29/23 7:59:01 PM,%RH,50.026
6/29/23 8:59:01 PM,%RH,55.003
6/29/23 9:59:01 PM,%RH,58.656
6/29/23 10:59:01 PM,%RH,67.49
6/29/23 11:59:01 PM,%RH,74.802
6/30/23 12:59:01 AM,%RH,78.069
6/30/23 1:59:01 AM,%RH,82.318
6/30/23 2:59:01 AM,%RH,84.398
6/30/23 3:59:01 AM,%RH,85.426
6/30/23 4:59:01 AM,%RH,88.466
6/30/23 5:59:01 AM,%RH,88.466
6/30/23 6:59:01 AM,%RH,89.464
6/30/23 7:59:01 AM,%RH,87.46
6/30/23 8:59:01 AM,%RH,85.426
6/30/23 9:59:01 AM,%RH,84.913
6/30/23 10:59:01 AM,%RH,80.739
6/30/23 11:59:01 AM,%RH,70.904
6/30/23 12:59:01 PM,%RH,63.42
6/30/23 1:59:01 PM,%RH,55.003
6/30/23 2:59:01 PM,%RH,55.003
6/30/23 3:59:01 PM,%RH,50.655
6/30/23 4:59:01 PM,%RH,47.492
6/30/23 5:59:01 PM,%RH,47.492
6/30/23 6:59:01 PM,%RH,41.68
6/30/23 7:59:01 PM,%RH,40.368
6/30/23 8:59:01 PM,%RH,39.048
6/30/23 9:59:01 PM,%RH,50.026
6/30/23 10:59:01 PM,%RH,55.003
6/30/23 11:59:01 PM,%RH,61.648
7/1/23 12:59:01 AM,%RH,65.176
7/1/23 1:59:01 AM,%RH,66.337
7/1/23 2:59:01 AM,%RH,66.914
7/1/23 3:59:01 AM,%RH,71.467
7/1/23 4:59:01 AM,%RH,75.898
7/1/23 5:59:01 AM,%RH,78.607
7/1/23 6:59:01 AM,%RH,72.586
7/1/23 7:59:01 AM,%RH,64.592
7/1/23 8:59:01 AM,%RH,62.831
7/1/23 9:59:01 AM,%RH,57.446
7/1/23 10:59:01 AM,%RH,51.281
7/1/23 11:59:01 AM,%RH,48.763
7/1/23 12:59:01 PM,%RH,46.854
7/1/23 1:59:01 PM,%RH,42.985
7/1/23 2:59:01 PM,%RH,39.048
7/1/23 3:59:01 PM,%RH,33.693
7/1/23 4:59:01 PM,%RH,35.043
7/1/23 5:59:01 PM,%RH,36.386
7/1/23 6:59:01 PM,%RH,41.025
7/1/23 7:59:01 PM,%RH,44.928
7/1/23 8:59:01 PM,%RH,49.395
7/1/23 9:59:01 PM,%RH,55.616
7/1/23 10:59:01 PM,%RH,63.42
7/1/23 11:59:01 PM,%RH,68.636
7/2/23 12:59:01 AM,%RH,72.586
7/2/23 1:59:01 AM,%RH,76.444
7/2/23 2:59:01 AM,%RH,78.607
7/2/23 3:59:01 AM,%RH,81.267
7/2/23 4:59:01 AM,%RH,85.426
7/2/23 5:59:01 AM,%RH,85.426
7/2/23 6:59:01 AM,%RH,84.398
7/2/23 7:59:01 AM,%RH,75.898
7/2/23 8:59:01 AM,%RH,72.586
7/2/23 9:59:01 AM,%RH,62.831
7/2/23 10:59:01 AM,%RH,56.838
7/2/23 11:59:01 AM,%RH,52.529
7/2/23 12:59:01 PM,%RH,45.572
7/2/23 1:59:01 PM,%RH,41.025
7/2/23 2:59:01 PM,%RH,35.715
7/2/23 3:59:01 PM,%RH,30.97
7/2/23 4:59:01 PM,%RH,31.654
7/2/23 5:59:01 PM,%RH,33.693
7/2/23 6:59:01 PM,%RH,34.369
