1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A00000007F245841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Thu Jun 29 09:59:01 PDT 2023
Mission Sample Count:  319
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jun 29 09:59:01 PDT 2023
Total Mission Samples:  319
Total Device Samples:  9792
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/23 9:59:01 AM,C,19.788
6/29/23 10:59:01 AM,C,19.287
6/29/23 11:59:01 AM,C,20.791
6/29/23 12:59:01 PM,C,22.794
6/29/23 1:59:01 PM,C,24.295
6/29/23 2:59:01 PM,C,26.794
6/29/23 3:59:01 PM,C,27.793
6/29/23 4:59:01 PM,C,29.291
6/29/23 5:59:01 PM,C,27.294
6/29/23 6:59:01 PM,C,25.795
6/29/23 7:59:01 PM,C,23.294
6/29/23 8:59:01 PM,C,21.792
6/29/23 9:59:01 PM,C,20.791
6/29/23 10:59:01 PM,C,19.287
6/29/23 11:59:01 PM,C,17.782
6/30/23 12:59:01 AM,C,17.28
6/30/23 1:59:01 AM,C,16.277
6/30/23 2:59:01 AM,C,15.774
6/30/23 3:59:01 AM,C,15.272
6/30/23 4:59:01 AM,C,15.272
6/30/23 5:59:01 AM,C,15.272
6/30/23 6:59:01 AM,C,15.272
6/30/23 7:59:01 AM,C,15.774
6/30/23 8:59:01 AM,C,16.277
6/30/23 9:59:01 AM,C,16.779
6/30/23 10:59:01 AM,C,17.782
6/30/23 11:59:01 AM,C,20.29
6/30/23 12:59:01 PM,C,22.293
6/30/23 1:59:01 PM,C,23.795
6/30/23 2:59:01 PM,C,25.295
6/30/23 3:59:01 PM,C,26.295
6/30/23 4:59:01 PM,C,27.294
6/30/23 5:59:01 PM,C,25.795
6/30/23 6:59:01 PM,C,25.795
6/30/23 7:59:01 PM,C,22.794
6/30/23 8:59:01 PM,C,21.292
6/30/23 9:59:01 PM,C,19.788
6/30/23 10:59:01 PM,C,17.782
6/30/23 11:59:01 PM,C,15.774
7/1/23 12:59:01 AM,C,14.77
7/1/23 1:59:01 AM,C,14.267
7/1/23 2:59:01 AM,C,13.765
7/1/23 3:59:01 AM,C,13.262
7/1/23 4:59:01 AM,C,12.256
7/1/23 5:59:01 AM,C,12.256
7/1/23 6:59:01 AM,C,13.765
7/1/23 7:59:01 AM,C,15.774
7/1/23 8:59:01 AM,C,15.774
7/1/23 9:59:01 AM,C,17.782
7/1/23 10:59:01 AM,C,19.287
7/1/23 11:59:01 AM,C,20.791
7/1/23 12:59:01 PM,C,22.293
7/1/23 1:59:01 PM,C,23.795
7/1/23 2:59:01 PM,C,25.295
7/1/23 3:59:01 PM,C,26.295
7/1/23 4:59:01 PM,C,27.294
7/1/23 5:59:01 PM,C,26.295
7/1/23 6:59:01 PM,C,24.795
7/1/23 7:59:01 PM,C,22.794
7/1/23 8:59:01 PM,C,21.292
7/1/23 9:59:01 PM,C,19.788
7/1/23 10:59:01 PM,C,18.284
7/1/23 11:59:01 PM,C,17.782
7/2/23 12:59:01 AM,C,16.779
7/2/23 1:59:01 AM,C,15.774
7/2/23 2:59:01 AM,C,15.272
7/2/23 3:59:01 AM,C,14.77
7/2/23 4:59:01 AM,C,14.267
7/2/23 5:59:01 AM,C,13.765
7/2/23 6:59:01 AM,C,14.77
7/2/23 7:59:01 AM,C,16.277
7/2/23 8:59:01 AM,C,17.28
7/2/23 9:59:01 AM,C,18.786
7/2/23 10:59:01 AM,C,19.788
7/2/23 11:59:01 AM,C,21.292
7/2/23 12:59:01 PM,C,22.794
7/2/23 1:59:01 PM,C,24.295
7/2/23 2:59:01 PM,C,25.795
7/2/23 3:59:01 PM,C,27.294
7/2/23 4:59:01 PM,C,27.793
7/2/23 5:59:01 PM,C,27.294
7/2/23 6:59:01 PM,C,27.294
7/2/23 7:59:01 PM,C,24.795
7/2/23 8:59:01 PM,C,23.795
