1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3D00000062355021
Is Mission Active?  true
Mission Start:  Thu Jun 29 10:00:00 PDT 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1154
Total Samples:  1154
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/29/23 10:00:00 AM,C,19
6/29/23 11:00:00 AM,C,24
6/29/23 12:00:00 PM,C,26
6/29/23 1:00:00 PM,C,23.5
6/29/23 2:00:00 PM,C,30.5
6/29/23 3:00:00 PM,C,34.5
6/29/23 4:00:00 PM,C,27.5
6/29/23 5:00:00 PM,C,22
6/29/23 6:00:00 PM,C,21
6/29/23 7:00:00 PM,C,21
6/29/23 8:00:00 PM,C,21.5
6/29/23 9:00:00 PM,C,21.5
6/29/23 10:00:00 PM,C,21.5
6/29/23 11:00:00 PM,C,21.5
6/30/23 12:00:00 AM,C,21.5
6/30/23 1:00:00 AM,C,21.5
6/30/23 2:00:00 AM,C,21
6/30/23 3:00:00 AM,C,21
6/30/23 4:00:00 AM,C,21
6/30/23 5:00:00 AM,C,21
6/30/23 6:00:00 AM,C,21
6/30/23 7:00:00 AM,C,20.5
6/30/23 8:00:00 AM,C,20
6/30/23 9:00:00 AM,C,20
6/30/23 10:00:00 AM,C,20
6/30/23 11:00:00 AM,C,20
6/30/23 12:00:00 PM,C,20
6/30/23 1:00:00 PM,C,20
6/30/23 2:00:00 PM,C,20
6/30/23 3:00:00 PM,C,20
6/30/23 4:00:00 PM,C,20
6/30/23 5:00:00 PM,C,20
6/30/23 6:00:00 PM,C,20.5
6/30/23 7:00:00 PM,C,21
6/30/23 8:00:00 PM,C,21
6/30/23 9:00:00 PM,C,21
6/30/23 10:00:00 PM,C,21
6/30/23 11:00:00 PM,C,21
7/1/23 12:00:00 AM,C,21
7/1/23 1:00:00 AM,C,21
7/1/23 2:00:00 AM,C,21
7/1/23 3:00:00 AM,C,21
7/1/23 4:00:00 AM,C,21
7/1/23 5:00:00 AM,C,21
7/1/23 6:00:00 AM,C,21
7/1/23 7:00:00 AM,C,21
7/1/23 8:00:00 AM,C,21
7/1/23 9:00:00 AM,C,21
7/1/23 10:00:00 AM,C,21
7/1/23 11:00:00 AM,C,21
7/1/23 12:00:00 PM,C,21.5
7/1/23 1:00:00 PM,C,21.5
7/1/23 2:00:00 PM,C,21.5
7/1/23 3:00:00 PM,C,22
7/1/23 4:00:00 PM,C,22
7/1/23 5:00:00 PM,C,22
7/1/23 6:00:00 PM,C,22
7/1/23 7:00:00 PM,C,22
7/1/23 8:00:00 PM,C,22
7/1/23 9:00:00 PM,C,22
7/1/23 10:00:00 PM,C,22
7/1/23 11:00:00 PM,C,22
7/2/23 12:00:00 AM,C,21.5
7/2/23 1:00:00 AM,C,21.5
7/2/23 2:00:00 AM,C,21.5
7/2/23 3:00:00 AM,C,21.5
7/2/23 4:00:00 AM,C,21.5
7/2/23 5:00:00 AM,C,21.5
7/2/23 6:00:00 AM,C,21.5
7/2/23 7:00:00 AM,C,21.5
7/2/23 8:00:00 AM,C,21.5
7/2/23 9:00:00 AM,C,21.5
7/2/23 10:00:00 AM,C,21.5
7/2/23 11:00:00 AM,C,22
7/2/23 12:00:00 PM,C,22
7/2/23 1:00:00 PM,C,22
7/2/23 2:00:00 PM,C,22.5
7/2/23 3:00:00 PM,C,22.5
7/2/23 4:00:00 PM,C,22.5
7/2/23 5:00:00 PM,C,22.5
7/2/23 6:00:00 PM,C,22.5
7/2/23 7:00:00 PM,C,22.5
7/2/23 8:00:00 PM,C,22.5
