1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 83000000557F5F21
Is Mission Active?  true
Mission Start:  Thu May 26 00:03:00 EDT 2022
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1187
Total Samples:  4561
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
5/26/22 12:03:00 AM,C,23
5/26/22 1:03:00 AM,C,23
5/26/22 2:03:00 AM,C,23
5/26/22 3:03:00 AM,C,23
5/26/22 4:03:00 AM,C,23
5/26/22 5:03:00 AM,C,23
5/26/22 6:03:00 AM,C,23
5/26/22 7:03:00 AM,C,23
5/26/22 8:03:00 AM,C,23
5/26/22 9:03:00 AM,C,23
5/26/22 10:03:00 AM,C,23
5/26/22 11:03:00 AM,C,23
5/26/22 12:03:00 PM,C,23
5/26/22 1:03:00 PM,C,23
5/26/22 2:03:00 PM,C,23
5/26/22 3:03:00 PM,C,23
5/26/22 4:03:00 PM,C,23
5/26/22 5:03:00 PM,C,23
5/26/22 6:03:00 PM,C,23
5/26/22 7:03:00 PM,C,23
5/26/22 8:03:00 PM,C,23
5/26/22 9:03:00 PM,C,23
5/26/22 10:03:00 PM,C,23
5/26/22 11:03:00 PM,C,23
5/27/22 12:03:00 AM,C,23
5/27/22 1:03:00 AM,C,23
5/27/22 2:03:00 AM,C,22.5
5/27/22 3:03:00 AM,C,22.5
5/27/22 4:03:00 AM,C,22.5
5/27/22 5:03:00 AM,C,22.5
5/27/22 6:03:00 AM,C,22.5
5/27/22 7:03:00 AM,C,22.5
5/27/22 8:03:00 AM,C,22.5
5/27/22 9:03:00 AM,C,22.5
5/27/22 10:03:00 AM,C,22.5
5/27/22 11:03:00 AM,C,22.5
5/27/22 12:03:00 PM,C,23
5/27/22 1:03:00 PM,C,23
5/27/22 2:03:00 PM,C,23
5/27/22 3:03:00 PM,C,23
5/27/22 4:03:00 PM,C,23
5/27/22 5:03:00 PM,C,23
5/27/22 6:03:00 PM,C,23
5/27/22 7:03:00 PM,C,22.5
5/27/22 8:03:00 PM,C,22.5
5/27/22 9:03:00 PM,C,22.5
5/27/22 10:03:00 PM,C,22.5
5/27/22 11:03:00 PM,C,22.5
5/28/22 12:03:00 AM,C,22.5
5/28/22 1:03:00 AM,C,22.5
5/28/22 2:03:00 AM,C,22.5
5/28/22 3:03:00 AM,C,22.5
5/28/22 4:03:00 AM,C,22.5
5/28/22 5:03:00 AM,C,22.5
5/28/22 6:03:00 AM,C,22.5
5/28/22 7:03:00 AM,C,22.5
5/28/22 8:03:00 AM,C,22.5
5/28/22 9:03:00 AM,C,22.5
5/28/22 10:03:00 AM,C,22.5
5/28/22 11:03:00 AM,C,22.5
